module_name,module_version,full_name,prefix,obj_name,obj_doc,object_type,0,2,3
os,0,os.path.normpath,path,normpath,"Python Library Documentation: function normpath in module ntpath

normpath(path)
    Normalize path, eliminating double slashes, etc.
",function,path,,arg_info
os,0,os.path.realpath,path,abspath,"Python Library Documentation: function abspath in module ntpath

abspath(path)
    Return the absolute version of a path.
",function,path,,arg_info
os,0,os.path.relpath,path,relpath,"Python Library Documentation: function relpath in module ntpath

relpath(path, start=None)
    Return a relative version of a path
",function,path,,arg_info
os,0,os.path.relpath,path,relpath,"Python Library Documentation: function relpath in module ntpath

relpath(path, start=None)
    Return a relative version of a path
",function,start,NoneType,arg_info
os,0,os.path.samefile,path,samefile,"Python Library Documentation: function samefile in module genericpath

samefile(f1, f2)
    Test whether two pathnames reference the same actual file
",function,f2,,arg_info
os,0,os.path.samefile,path,samefile,"Python Library Documentation: function samefile in module genericpath

samefile(f1, f2)
    Test whether two pathnames reference the same actual file
",function,f1,,arg_info
os,0,os.path.sameopenfile,path,sameopenfile,"Python Library Documentation: function sameopenfile in module genericpath

sameopenfile(fp1, fp2)
    Test whether two open file objects reference the same file
",function,fp1,,arg_info
os,0,os.path.sameopenfile,path,sameopenfile,"Python Library Documentation: function sameopenfile in module genericpath

sameopenfile(fp1, fp2)
    Test whether two open file objects reference the same file
",function,fp2,,arg_info
os,0,os.path.samestat,path,samestat,"Python Library Documentation: function samestat in module genericpath

samestat(s1, s2)
    Test whether two stat buffers reference the same file
",function,s1,,arg_info
os,0,os.path.samestat,path,samestat,"Python Library Documentation: function samestat in module genericpath

samestat(s1, s2)
    Test whether two stat buffers reference the same file
",function,s2,,arg_info
os,0,os.path.split,path,split,"Python Library Documentation: function split in module ntpath

split(p)
    Split a pathname.
    
    Return tuple (head, tail) where tail is everything after the final slash.
    Either part may be empty.
",function,p,,arg_info
os,0,os.path.splitdrive,path,splitdrive,"Python Library Documentation: function splitdrive in module ntpath

splitdrive(p)
    Split a pathname into drive/UNC sharepoint and relative path specifiers.
    Returns a 2-tuple (drive_or_unc, path); either part may be empty.
    
    If you assign
        result = splitdrive(p)
    It is always true that:
        result[0] + result[1] == p
    
    If the path contained a drive letter, drive_or_unc will contain everything
    up to and including the colon.  e.g. splitdrive(""c:/dir"") returns (""c:"", ""/dir"")
    
    If the path contained a UNC path, the drive_or_unc will contain the host name
    and share up to but not including the fourth directory separator character.
    e.g. splitdrive(""//host/computer/dir"") returns (""//host/computer"", ""/dir"")
    
    Paths cannot contain both a drive letter and a UNC path.
",function,p,,arg_info
os,0,os.path.splitext,path,splitext,"Python Library Documentation: function splitext in module ntpath

splitext(p)
    Split the extension from a pathname.
    
    Extension is everything from the last dot to the end, ignoring
    leading dots.  Returns ""(root, ext)""; ext may be empty.
",function,p,,arg_info
os,0,os.path.splitunc,path,splitunc,"Python Library Documentation: function splitunc in module ntpath

splitunc(p)
    Deprecated since Python 3.1.  Please use splitdrive() instead;
    it now handles UNC paths.
    
    Split a pathname into UNC mount point and relative path specifiers.
    
    Return a 2-tuple (unc, rest); either part may be empty.
    If unc is not empty, it has the form '//host/mount' (or similar
    using backslashes).  unc+rest is always the input path.
    Paths containing drive letters never have a UNC part.
",function,p,,arg_info
